"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"New York","NY","New York","Queens",1,1995,2237.5,2497,2200,2300,2172.5,1900,1900,2100,1950,2300,2050,1800,2000,2000,2025,2025,2100,2200,2190,2120,2100,2095,2090,2100,2100,2150,2195,2195,2195,2200,2200,2200,2200,2200,2185,2200,2200,2200,2200,2225,2200,2230.5,2290,2280,2295,2300,2295,2299,2295,2295,2300,2326.5,2300,2260,2291,2300,2300,2300,2310.5,2325,2350,2398,2395,2400,2390,2400,2400,2400,2370,2350,2340,2350,2350,2350,2325,2340,2350,2340,2349,2350,2379,2199,2295,2400,2400,2425,2475,2475,2475,2450,2400,2370,2350,2350,2310.5
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,895,895,925,950,950,915,900,927.5,985,950,950,955,975,1036,1055,1050,1095,1095,1025,1100,1098,1095,950,1050,1095,1081.5,1050,1069,1125,1177.5,1275,1327.5,1295,1295,1275,1345,1345,1345,1367.5,1375,1367.5,1432.5,1445,1432,1432,1450,1400,1395,1500,1550,1600,1558,1662,1595,1695,1545,1602.5,1525,1550,1450,1499,1698,1925,1800,1710,1850,1951,1945,1949.5,1914.5,1850,1870,1850
"Chicago","IL","Chicago","Cook",3,1450,1450,1425,1500,1500,1450,1345,1525,1600,1650,1775,1500,1449,1350,1355,1375,1349,1300,1306,1350,1300,1270,1285,1268.5,1225,1220,1275,1295,1275,1325,1390,1400,1395,1390,1384,1399,1427.5,1414.5,1400,1430,1438,1450,1495,1500,1495,1450,1475,1485,1465,1450,1450,1495,1529,1581,1500,1600,1595,1515,1468,1525,1625,1550,1500,1530,1550,1520,1500,1550,1550,1550,1522,1523,1564,1514.5,1500,1495,1452,1450,1450,1457,1500,1505,1498,1500,1499,1492,1485,1475,1492,1500,1535,1550,1550,1528.5,1500,1515
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826,859.5,920,855,950,950,955,925,913,1000,1010,1010,1005,990,949.5,1000,1100,1140,1215,1197.5,1200,1200,1120,1100,1100,1150,1200,1195,1090,1225,1100,1100,1057.5,1145,1301.5,1295,1319,1269,1304,1319,1295,1251.5,1250,1150,1249.5,1219,1145,1050,1235,1247.5,1212,1200,1225,1210,1189,1215,1250,1240,1282.5,1259,1201
"Philadelphia","PA","Philadelphia","Philadelphia",5,,1500,1287.5,1387.5,1375,1275,1400,1250,1400,1600,1500,1285,1300,1300,1400,1350,1400,1450,1475,1450,1250,1197.5,1195,1100,1175,1185,1150,1200,1125,1150,1195,1200,1175,1129,1195,1150,1195,1295,1250,1200,1150,1100,1195,1250,1200,1150,1150,1150,1150,1197.5,1200,1250,1250,1290,1250,1250,1275,1300,1200,1250,1250,1272.5,1335,1333,1300,1295,1300,1300,1295,1300,1300,1325,1300,1350,1395,1365,1400,1250,1300,1300,1350,1300,1317.5,1262.5,1300,1350,1350,1360,1325,1316,1350,1375,1375,1395,1350,1395
"Phoenix","AZ","Phoenix","Maricopa",6,1275,1200,1212.5,1225,1175,1195,1195,1100,1095,1099,1099,1049,1050,1050,1050,1050,1050,1050,1050,1025,1000,995,995,995,995,1000,1000,1050,1050,1050,1045,1025,1000,1000,1000,995,1000,1000,1000,1000,1000,1025,995,1050,1050,1050,1050,1075,1050,1050,1095,1125,1149.5,1150,1175,1150,1150,1150,1150,1150,1195,1200,1219,1225,1225,1200,1200,1200,1200,1190,1200,1245,1250,1250,1250,1225,1250,1200,1200,1200,1200,1200,1200,1250,1250,1295,1300,1325,1335,1325,1300,1300,1299,1295,1300,1295
"San Diego","CA","San Diego","San Diego",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479.5,1515,1560,1595,1595,1550,1595,1620,1677.5,1705,1695,1495,1497.5,1606,1595,1595,1595,1507.5,1550,1620.5,1450,1610,1465,1497.5,1595,1694,1746,1684,1726.5,1747.5,1690,1739,1653,1700,1677.5,1685,1695,1795
"Dallas","TX","Dallas-Fort Worth","Dallas",8,,,,,,,,,,,,895,795,845.5,825,812.5,845.5,850,750,749,725,750,700,682,695,750,755,850,850,795,705,746,750,825,850,850,800,845,865,797,797,851,861,899,945,970,982.5,975,947.5,950,970,955,1058,1050,1050,1000,1082.5,1100,1050,1054.5,1026,1030,1080.5,1067,1080,1150,1170,1045,995,1055,1055,1025,1005,1050,1124,1150,1053,1100,1094.5,1097,1150,1166,1100,1170,1170,1165,1162.5,1165,1170,1190,1230,1240,1250.5,1269,1295,1400
"San Jose","CA","San Jose","Santa Clara",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2147.5,2120,2115,2195,2142,2215,2315,2395,2370,2340,2365,2367,2307.5,2334.5,2294.5,2202.5,2242.5,2285,2367.5,2055,2199,2077.5,2135,2052,2261.5,2235,2315,2287,2246.5,2313,2297,2269.5,2218,2286.5,2230,2197,2204
"Jacksonville","FL","Jacksonville","Duval",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,900,910,930,895,840,850,850,745,745,745,750,850,850,850,875,794.5,850,778,779,825,850,850,815,738,807.5,779,850,975,937.5,799,832.5,925,832.5,940,930,886.5,927.5,951,995,1027,1025,973,1052,1050,1075,1075
