"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"New York","NY","New York","Queens",1,,,,,2250,2400,2400,2400,2562.5,2795,2665,2900,2600,2200,2550,2650,2700,2698.5,2800,2865,2850,2800,2650,2595,2450,2600,2550,2579,2600,2600,2622,2655,2700,2750,2700,2800,2800,2800,2800,2800,2900,2800,2700,2800,2850,2895,2900,2900,2950,2950,2900,2850,2950,2995,2900,2900,2900,2950,2900,2850,2950,2950,2950,2988,2900,3000,3000,3000,3000,2995,2995,3000,2995,2975,2995,2995,2995,2925,2950,2985,2950,2975,2950,2895,2919,3000,3000,3000,3000,3000,3000,3000,3000,2990,2950,2950,2900
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2350,2700,2600,2600,2600,2600,2795,2800,2895,2900,2985,2900,2950,2975,2995,2995,3000,3200,3200,3250,3270,3350,3300,3250,3200,3200,3350,3400,3400,3400,3290,3300,3273,3150,3495,3150,3500,3200,3295,3385,3495,3500,3500,3500,3500,3500,3500,3500,3500,3500,3490
"Chicago","IL","Chicago","Cook",3,,1572.5,1500,1500,1500,1562.5,1500,1500,1600,1650,1700,1775,1600,1600,1599,1600,1625,1613,1650,1650,1650,1650,1600,1600,1602.5,1625,1650,1600,1600,1650,1650,1650,1595,1599,1565,1600,1595,1593,1585,1575,1600,1600,1637,1633,1660,1700,1687,1700,1695,1675,1695,1695,1750,1750,1774.5,1795,1800,1800,1795,1780,1750,1750,1774,1750,1775,1765,1785,1795,1750,1725,1725,1700,1736,1750,1750.5,1775,1750,1749,1750,1750,1700,1700,1695,1695,1695,1700,1725,1750,1795,1800,1845,1800,1795,1750,1737,1700,1700
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,1209,1247,1250,1295,1395,1400,1400,1447.5,1450,1450,1450,1450,1450,1450,1450,1495,1525,1550,1595,1551.5,1550,1505,1500,1550,1575,1569.5,1575,1590,1550,1500,1495,1475,1489,1450,1400,1425,1395,1495,1500,1500,1500,1500,1515,1500,1500,1550,1500,1500,1500,1500
"Philadelphia","PA","Philadelphia","Philadelphia",5,,1350,1290,1250,1300,1400,1500,1500,1450,1475,1450,1500,1397.5,1377.5,1450,1500,1500,1450,1462.5,1495,1400,1350,1325,1325,1250,1350,1400,1425,1400,1397.5,1350,1250,1200,1200,1200,1150,1150,1200,1295,1350,1399,1350,1300,1291.5,1300,1275,1250,1250,1200,1200,1250,1300,1500,1500,1500,1472.5,1400,1395,1385,1300,1395,1400,1500,1550,1595,1550,1500,1500,1495,1450,1425,1400,1400,1400,1500,1575,1550,1500,1425,1399,1395,1300,1395,1300,1350,1395,1500,1550,1550,1550,1500,1495,1450,1450,1450,1400,1400
"Phoenix","AZ","Phoenix","Maricopa",6,,1300,1200,1200,1200,1100,1150,1195,1100,1100,1099,1099,1000,1025,1043,1050,1050,1050,1050,1050,1025,1000,995,995,995,995,1000,1000,1000,1050,1050,1000,1000,1000,1000,1000,999,999.5,1000,1000,1000,1000,1000,995,1050,1050,1050,1050,1050,1050,1050,1095,1100,1100,1125,1150,1129,1125,1125,1150,1150,1190,1195,1200,1200,1200,1200,1200,1195,1199,1195,1200,1219,1225,1250,1250,1200,1200,1200,1200,1200,1200,1200,1195,1220,1250,1295,1300,1325,1325,1325,1300,1300,1299,1295,1300,1300
"Las Vegas","NV","Las Vegas","Clark",7,,1250,1250,1200,1200,1050,1150,1200,1200,1200,1195,1100,1150,1150,1100,1125,1195,1150,1150,1150,1150,1145,1100,1100,1100,1100,1100,1095,1100,1100,1100,1100,1099,1095,1095,1095,1095,1095,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1150,1150,1150,1175,1175,1195,1195,1195,1195,1195,1195,1200,1200,1200,1225,1200,1200,1245,1249,1225,1225,1245,1225,1250,1250,1250,1250,1250,1275,1200,1200,1200,1250,1275,1200,1250,1295,1300,1330,1325,1350,1350,1350,1350,1325,1340,1350,1350
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,1160,1155,1150,1100,1195,1095,1095,1100,1135,1150,1195,1200,1195,1150,1100,1100,1100,1125,1150,1150,1000,1000,1100,1100,1100,1095,1075,1095,1029,885,900,889,915,907.5,995,937,950,999,1095,1060,1074,1064,1075,1100,1100,1100,1125,1150,1150,1125,1100,1100,1095,1099,1100,1115,1100,1125,1150,1133,1124,1100,1100,1105,1104,1135,1135,1100,1082,1075,1074.5,1082,1095,1060,1055,1095,1025,1150,1180,1195,1200,1225,1275.5,1275,1250,1250,1250,1230,1225,1235
"San Diego","CA","San Diego","San Diego",9,,,,,,,,3500,3000,2795,2497.5,2500,2100,2200,2200,2295,2297,2295,2250,2250,2200,2150,2095,2095,2000,2050,2000,1900,1895,2000,1995,1995,2000,1995,1995,1995,1950,1900,1900,1950,1995,2000,2000,1900,2200,2250,2195,2200,2200,2200,2195,2150,2250,2295,2295,2300,2300,2395,2345,2300,2350,2395,2300,2297.5,2282.5,2300,2300,2350,2350,2350,2395,2400,2400,2400,2400,2395,2325,2395,2375,2350,2395,2350,2300,2350,2400,2495,2500,2500,2595,2600,2600,2595,2550,2500,2500,2500,2500
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1150,1075,1000,1100,1115,1195,1195,1100,1122,1200,1195,1198,1250,1295,1245.5,1250,1250,1250,1300,1250,1231.5,1225,1250,1300,1300,1350,1325,1300,1300,1298,1300,1300,1325,1375,1395,1400,1400,1450,1450,1400,1400,1400,1400,1400,1450,1497,1495,1495,1450,1450,1450,1400,1450,1495,1450,1500,1550,1600,1600,1650,1695,1650,1650,1650,1595,1600,1600,1600
