RegionName,City,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
91910,Chula Vista,CA,San Diego,San Diego,112,190.1754056,194.1667059,194.1667059,192.9953278,189.2147588,188.2311643,188.0423653,188.0811496,186.8650218,185.3307756,184.3902439,175.4796444,169.1335862,165.3543307,175.5118777,167.7884615,162.3292128,153.1614487,161.4173228,164.6090535,167.1511628,165.5629139,158.5832247,158.0338266,154.6691332,159.4684385,157.1856287,154.1577458,163.3224452,159.2718999,153.7493158,159.3059785,159.5639159,167.8796361,187.0991797,188.943317,185.9142607,191.6058394,194.2335689,198.4120588,199.444584,210.9886415,221.4566929,230.4815574,228.6532951,227.0388905,228.3016831,228.6264527,225.5825483,233.7278054,237.7893519,237.1707633,229.8076923,233.6286776,239.6836456,238.5554425,246.3858554,246.2394441,242.7490542,238.5114885,246.082316,250.647262,256.8150685,260.2494577,260.2230483,258.0776039,260.6910039,262.5,262.8289474,270.9736209,265.9624413,262.9427793,267.0501233,269.54002,275.1304661,280.406056,282.6522797,284.5528455,280.0653595,280.6417706,280.6712963,278.2375025,278.5547786,281.0383747,284.2465753,282.5600135,283.9116719,291.9899875,294.1790825,296.6101695,293.9804013,298.3340239,290.9343201,289.7097625,293.8034188,299.1820921
92126,San Diego,CA,San Diego,San Diego,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.0879107,291.4530501,296.9660586,296.0859693,298.9130435,300.1464129,300.6517652,306.0046189,306.0046189,311.3499273,308.9508191,310.4818679,311.1022225,305.9769741,306.0046189,300.6416335,310.1920236,325.7966685,325.407092,325.2788104,327.970297,331.0897926,334.0930066,332.6210826,332.5875723,332.123412,332.123412,334.7468192,333.2031257,332.554062,342.3160961,340.8093613,344.0025253,341.4179104,341.3039762,340.2312842,345.5397151,349.1921005,342.9131287,332.7026622,336.6336634,344.8275862,362.9121374,394.084654,389.3643032,391.8918919,388.101983,388.101983,389.637983,390.7564689,387.2366791
91911,Chula Vista,CA,San Diego,San Diego,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.5373563,212.585034,216.3043478,231.9587629,237.0150862,222.1879716,215.0943396,223.3481763,240.617849,248.6157254,241.7108753,235.1485149,234.2606149,227.2727273,232.6785116,235.0813743,232.8980527,226.5625,229.3805842,244.7980416,247.1910112,247.2345332,246.8650416,243.8326738,244.4376528,243.2824982,261.4555256,259.3457944,272.7754237,274.4584169,274.0353172,272.3735409,275.1162975,272.9346173,275.3630446,275.1724138,272.1144428,268.0785124,275.7985258,284.5278201,286.9565217,297.0204842,286.5262732,292.6666667,293.3695652,294.6798151,280.4455446,290.0220588,287.377451,290.4451683
92109,San Diego,CA,San Diego,San Diego,218,523.1438489,505.310244,503.2858708,499.7298757,514.7789219,501.8248175,497.7300151,504.8298573,508.3606781,480.8228206,469.0669371,449.4458128,432.9988604,430.3310239,425.9501966,430.5842937,426.4322917,432.6630104,436.6506795,426.0312945,436.5079365,430.0915003,429.2980671,431.6740757,423.9550113,413.215859,415.1743821,413.215859,432.5808879,446.4052476,447.2226735,442.7394439,445.8396993,451.4520763,485.2132942,498.1621832,508.1560284,497.1590909,509.5923261,511.5664243,532.1240943,525.3623188,532.262166,539.3053016,535.1051276,512.3906706,511.3570181,512.3906706,515.1615197,506.88905,534.4883004,536.1253282,534.1880342,553.6005347,543.5233161,545.5381602,541.4534389,525.5102041,518.9175546,546.4684015,554.283113,567.2728431,555.308642,555.2873008,559.1780315,561.3793409,549.1898148,556.5606725,546.1245879,554.3478261,556.3356164,581.7272727,595.840868,585.5119826,578.280543,570.7364341,582.7716025,587.6470588,603.4482759,599.5,615.6316916,633.4745763,610.8389911,633.4745763,637.9625509,643.8795591,598.6344538,650.2601908,660.6334842,673.6317172,697.7777778,707.3906486,724.1813602,688.7755102,707.0769231,747.0588235
92101,San Diego,CA,San Diego,San Diego,220,463.9534884,458.2414755,444.6564885,444.6564885,444.6564885,424.3759178,415.0831354,425.0181951,419.4349315,403.930131,402.4590896,386.3915716,384.1040549,388.3161512,384.6886113,373.5955056,362.3871822,363.1160882,373.75,373.2041796,373.7658674,374.7510138,373.4500979,383.7991132,379.0322581,383.2199546,376.344086,378.6096257,401.7305315,393.3415536,386.289445,397.3289696,405.1001309,413.8629936,448.8487703,455.7502128,475.638051,485.9751686,507.859734,506.6205263,506.6890255,499.4117647,491.3297347,486.7444327,493.2244159,498.8662132,490.835535,489.7680764,496.6143714,499.5610184,511.4728682,512.7388535,499.1243433,509.5952024,512.1518616,509.331824,501.5201718,501.5797788,496.8152288,507.5390387,520.3221809,514.3184422,506.0790274,502.2764398,498.8149185,484.7352034,494.819839,494.3181818,495.4951456,513.037448,511.2951807,522.0306513,520.5882353,531.7917728,547.5002558,572.0653789,564.0405494,584.1116525,587.357331,585.4330709,563.088532,563.088532,579.9545171,580.5813596,576.3945346,589.1775584,592.0611193,602.0004141,593.1263858,603.5767511,608.9592558,603.5767511,601.4056225,602.9328821,621.816387,631.2529776
92021,El Cajon,CA,San Diego,San Diego,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.8370571,207.6366169,213.1147541,212.2241087,215.3205991,219.8529412,224.7676914,220.3740868,228.5921626,236.3030303,235.483871,232.9901503,231.7535545,237.7188602,234.3797623,242.2565358,239.4049347,244.5888993,247.0210816,237.7717391,242.1134396,245.043573,247.3050648,246.6173362,250.5705157,252.2232279,252.3726747,268.2198327,266.8539326,264.0318831,264.8335745,254.0547476,259.8803526,265.1446713,267.0536633,271.2175124,271.6225876,270.8124373,270.8124373,267.0834812,274.1397849,276.026936,280.6419258,290.6655433,286.7647059,278.9150461,276.4689165,289.6937397,303.8062119,300.1971868,294.2857143
92104,San Diego,CA,San Diego,San Diego,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.3717949,388.7440191,376.9181586,393.2943055,401.7139796,405.8524173,391.7162851,381.3193085,394.7997419,390.8496732,401.2242647,400.5876592,407.239819,388.0811592,396.1538462,406.125,411.8783142,419.9939958,423.1770833,419.9604743,424.8716694,441.2982456,439.9367861,456.9575472,461.6306717,483.259694,465.6862745,460.7077206,456.3433569,467.4836601,469.6789536,460.6547057,470.4918033,471.5383298,492.8736287,500.0062846,467.3681627,456.7627494,475.7320074,460.1983003,463.7726195,480.0535652,490.4109589,491.0475078,486.4864865,507.0993915,539.5385014,548.1572773,522.301984,505.8381806,517.3913043,527.4761687,539.8481968
92115,San Diego,CA,San Diego,San Diego,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.2721088,305.4405024,305.7460612,300.7896626,295.5992887,301.4388489,299.2788462,307.0009461,307.0009461,316.4725479,315.2697095,314.3863179,317.8368019,318.076645,319.2405714,306.3680905,305.5224176,313.0099068,313.5198135,311.3983549,325.0772665,323.2803078,324.8050222,319.3640234,325.2611586,325.4769921,343.0602406,349.0981482,347.9122056,348.2418171,347.9122056,349.3003229,355.2628989,354.1174774,358.8850174,360.7165929,359.8797896,359.3601781,369.1550451,388.9529878,392.6245211,392.6245211,399.6742671,392.7203065,384.2996743,410.2739726,390.8390975,408.4248363,407.0881226,397.5684331
92154,San Diego,CA,San Diego,San Diego,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.8529412,195.610269,198.8071571,201.0338374,197.1954426,201.9038143,206.7603692,205.4154995,214.2143688,215.9552846,221.806558,225.8757062,217.8574652,213.4146341,209.4286971,216.5275165,217.8394625,217.294402,218.9497717,220.0641693,219.5923718,232.3333333,226.9306906,227.8612729,227.8612729,226.1823167,226.1276143,232.8431373,232.8431373,239.9678973,239.9678973,244.2810458,246.9074715,242.6036918,242.3822715,247.1698889,249.9431818,249.4050363,253.1963995,250.251004,255.5297398,257.8125,256.0627675,256.2208733,257.5855391,264.4105782,267.8547308,267.9049916,265.9574468,272.4665392,276.5957447
92105,San Diego,CA,San Diego,San Diego,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.4350323,261.1940299,271.4132217,265.7936508,261.0558823,262.3893722,281.779661,268.2539683,274.5006467,271.1864407,268.1563959,268.2539683,275.7118132,274.6212121,257.5107296,268.8163082,267.8571429,304.6296296,309.5985586,272.2178413,275.2987035,270.9825422,255.3366174,258.6820304,286.0465116,290.035443,304.0400962,325.607064,334.2618384,339.2857143,344.2785877,346.214511,339.915293,341.8024044,347.3752735,346.214511,340.3105278,324.9791145,328.5420945,329.7095144,339.2857143,341.3955958,350.1751313,350.7281553,336.5817091,340.1325758,332.4891585,334.6865998
