RegionName,City,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
91910,Chula Vista,CA,San Diego,San Diego,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.242857143,2.322064002,2.316878981,2.297660819,2.410464821,2.461538462,2.346153846,2.396153846,2.353846154,2.423076923,2.423076923,2.42519685
92126,San Diego,CA,San Diego,San Diego,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.352606061,2.371473354,2.613636364,2.438509766,2.466462012,2.463949843,2.465527553,2.374925866,2.389510165,2.5,2.628912376,2.497514911,2.617346939,2.515808509,2.530718954,2.609717868,2.566225166,2.56041773,2.512321044,2.528973148
92109,San Diego,CA,San Diego,San Diego,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.086866359,2.015989139,2.285714286,2.204545455,2.163504016,1.917808219,2.077922078,2.113537483,1.965725806,2.061468436,1.93212098,2.017631115,2.083333333,2.087121212,2.137269193,2.182235835,2.232403218,2.277777778,2.135714286,2.153284672,2.101281163,2.069536424,2.08044783,2.2,2.298376623,2.283467202,2.371851041,2.214427004,2.338032129,2.356902357,2.326666667,2.347826087,2.252173913,2.325,2.341656289,2.354545455,2.575575027,2.577586207,2.718181818,2.694610778,2.611111111,2.657467532,2.416666667,2.525711939,2.692445125,2.538461538,2.647272727,2.518181818,2.5,2.636684303,2.453846154,2.64,2.660142349,2.795,2.610335345,2.666666667,2.712,2.636363636,2.636363636,2.658333333,2.923387097,3.078196638,3.231707317,2.919871795,2.916666667,2.933006536,3,2.920831856
92101,San Diego,CA,San Diego,San Diego,78,,,,,,,,,2.32692013,2.194785969,2.453333333,2.307197943,2.398081535,2.42248062,2.423002569,2.429447853,2.48480663,2.349382577,2.467502623,2.485101162,2.538461538,2.55,2.493261456,2.616918547,2.600297177,2.565982405,2.566041286,2.6,2.517401392,2.552523584,2.640264026,2.632311978,2.571428571,2.5250025,2.577726218,2.519450801,2.580499768,2.581560284,2.579569892,2.565210027,2.530292231,2.605042017,2.593883981,2.626780627,2.64293915,2.591991342,2.675641556,2.71373057,2.622556391,2.64334471,2.654567669,2.65712963,2.716186253,2.69286754,2.814930016,2.766350255,2.783606557,2.786407767,2.733585859,2.756009615,2.806859206,2.742647059,2.816889553,2.818057456,2.851851852,2.75974026,2.818647302,2.866414141,2.921875,3.075369775,3.093765575,2.895752896,2.890625,2.847633136,2.89514867,2.84959397,2.81870229,2.777777778,2.819237148,2.951618645,2.93721405,2.819237148,2.894218582,3.011751007,3.083333333,3.120805369,3.109756098,3.150064683,3.157503715,3.224368499,3.158333333,3.092689295,3.183079057,3.049242424,3.117182001
92104,San Diego,CA,San Diego,San Diego,126,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,1.576923077,1.526254181,1.48,1.5,1.480769231,1.541666667,1.543560606,1.5,1.5,1.565297907,1.566722408,1.587820513,1.592307692,1.608653846,1.625,1.592307692,1.70714672,1.703767123,1.639423077,1.530769231,1.626923077,1.641203704,1.63961039,1.636363636,1.7,1.710526316,1.741666667,1.743055556,1.824052347,1.818181818,1.880544355,1.9,1.869565217,1.961538462,1.96969697,1.939014956,1.992582418,1.992261905,1.981277056,2.0625,2.044172932,2.039722573,2,2.071714286,2.277373726,2.09,2.15224359,2.025,2.146153846,2.198529412,2.091836735,2.181818182,2.25,2.415703125,2.240384615,2.264285714,2.307692308,2.426086957,2.403100775,2.36038961,2.329166667,2.361003861,2.529206349,2.4352657,2.454195804,2.46875,2.443396226,2.389912483,2.407407407
92115,San Diego,CA,San Diego,San Diego,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.046082949,2.087738908,2.165,2.165,2.165,2.172727273,2.083333333,2.190530303,2.18,2.161363636,2.264,2.307692308
92122,San Diego,CA,San Diego,San Diego,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.585969739,2.518050542,2.544338336,2.489659593,2.538354254,2.524137931,2.489539749,2.523874488,2.556364503,2.56,2.59841402,2.754532775,2.756265664,2.700729927,2.645363409,2.655367232,2.61426492,2.585751979,2.548504282,2.68469657,2.72519084,2.691292876,2.721901602,2.78205846,2.620946039,2.579689704,2.605217391,2.697183099,2.675571871,2.715995008,2.803738318,2.88827891,2.824267782,2.806896552,2.797040498,2.873597111,2.841850897,2.7724321,2.763665252
92128,San Diego,CA,San Diego,San Diego,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.422041482,2.487622184,2.588996764,2.588996764,2.665775401,2.577272727,2.562301708,2.567114094,2.546969697,2.436440678,2.554281066,2.522727273
92130,San Diego,CA,San Diego,San Diego,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.589771773,2.634880803,2.696476965,2.790802525,2.749399612,2.791085602,2.80625,2.82781457,2.852682795,2.872955228,2.788627936,2.75625
92037,San Diego,CA,San Diego,San Diego,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.640901771,2.911290323,3.028225806,2.994444444,2.937281469,3.091922006,3.141129032,2.932692308,3.071153846,3.185576923,3.216788423,3.228021978,3.033842398
