RegionName,City,State,Metro,CountyName,SizeRank,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
91910,Chula Vista,CA,San Diego,San Diego,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.709183673,1.709183673,1.723551733,1.853658537,2.0475,2.044444444,2.027777778,1.91,1.857529844,1.964078795,2,1.953001969
92126,San Diego,CA,San Diego,San Diego,97,,,,,,,,,,,,,,1.613958561,1.59214831,1.624931843,1.560364465,1.681877445,1.748291572,1.750272628,1.804798255,1.750272628,1.715724117,1.685649203,1.703920285,1.728462377,1.685827531,1.651803569,1.66856492,1.753986333,1.750526316,1.730769231,1.704431116,1.663888889,1.691042781,1.705107084,1.647446458,1.630434783,1.638746803,1.605562579,1.670454545,1.668410042,1.670454545,1.70893054,1.725625248,1.733964646,1.747937757,1.785714286,1.785227273,1.793270817,1.785714286,1.733695652,1.760371179,1.791017172,1.802780191,1.804900181,1.789838337,1.801752464,1.847712556,1.859323882,1.888953358,1.853574985,1.896097652,1.875,1.941035104,1.924080087,1.923760857,1.907037359,1.907037359,1.884078252,2.030871003,1.962480208,2.00511253,1.939203354,1.946564885,1.93081255,1.919543568,1.998185118,1.992177364,2.03969129,2.048433744,2.041754116,2.059782609,2.075789474,2.016032064,2.049266247,2.032690663,2.040720396
91911,Chula Vista,CA,San Diego,San Diego,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.768292683,1.742369838,1.797177374,1.782531194,1.855238095,1.971428571,1.92,1.971428571,1.907849829,1.940178571,2.026143791,1.922049924
92109,San Diego,CA,San Diego,San Diego,114,,,,,,2.112407862,2.153846154,2.153846154,2.204585538,2.11616005,2.194015347,2.363636364,2.335331758,2.097374871,2.204585538,2.207029611,2.115277778,2.125,2.132541816,2.293176329,2.272727273,2.107791538,2.153776978,2.07486631,2.065300085,1.944867269,1.890393519,1.818181818,1.790107628,1.966153846,1.993166287,2.066341013,2.065217391,2.133333333,2.133333333,2.248677249,2.24137931,2.275862069,2.083333333,2.095720721,2.376518219,2.145422369,2.065542827,2.004110997,2.277017733,2.232824427,2.363445378,2.1023766,2.094465649,2.357203458,2.311939268,2.345058626,2.268181818,2.304675325,2.25,2.187096774,2.202019395,2.421215881,2.41025641,2.429149798,2.473372781,2.559003497,2.326923077,2.292307692,2.333333333,2.365979381,2.38146832,2.327860803,2.268181818,2.426158571,2.488938053,2.432432432,2.62,2.298120301,2.564389234,2.32650641,2.523313373,2.488338745,2.475,2.537336096,2.611111111,2.746506269,2.896551724,2.844481605,2.833333333,2.790675928,2.640199161,2.671690922
92101,San Diego,CA,San Diego,San Diego,116,,,,,,,,,2.450980392,2.527022056,2.306831228,2.366255144,2.214684757,2.161191378,2.161949686,2.352674524,2.39862644,2.300503235,2.296192792,2.235750894,2.401395451,2.388222465,2.442671984,2.5,2.463768116,2.377807133,2.337441185,2.402263599,2.354063018,2.372781065,2.458333333,2.390263368,2.39800544,2.407018682,2.407035176,2.488335925,2.527472527,2.487382841,2.434259259,2.452808848,2.490149724,2.41509434,2.471330275,2.474227225,2.509047045,2.46059935,2.527206771,2.537339181,2.463734568,2.473498233,2.474103462,2.496842105,2.518401682,2.564703041,2.513729983,2.497769848,2.511185682,2.527472527,2.529866479,2.592519742,2.590552829,2.599752169,2.830526316,2.833279358,2.700819672,2.699104043,2.645690216,2.646143266,2.695035461,2.655172615,2.414523914,2.691065662,2.660256612,2.691479109,2.667423383,2.753737215,2.79627843,2.793947101,2.79150537,2.748786166,2.73998779,2.77867374,2.788182465,2.796737606,2.863906406,2.870563674,2.808988764,2.855968051
92104,San Diego,CA,San Diego,San Diego,204,,,,,,,,,,,,,,,,,,,1.571428571,1.582278481,1.566964286,1.571428571,1.572389241,1.560926485,1.549594214,1.539348693,1.520119586,1.579018028,1.533333333,1.502890173,1.585256888,1.641176471,1.633333333,1.556521739,1.649076517,1.666666667,1.642857143,1.6625,1.636363636,1.70336477,1.773255814,1.677419355,1.677419355,1.735294118,1.79245283,1.707142857,1.623840409,1.8125,1.833333333,1.842302577,1.666666667,1.772222222,1.876068376,1.86875,1.8,1.895833333,1.85,2.045769764,2.017857143,1.984126984,2.010756881,2.004704301,2.015957447,1.984126984,2.004103967,2.072192513,1.935253054,2.048648649,1.924632353,1.9125,2.105633803,2.173913043,2.107438017,2.173076923,2.109375,2.005813953,2.084212048,2.105555556,2.128205128,2.195,2.24375,2.235294118,2.1875,2.280952381,2.228723404,2.289278351,2.24375,2.221614583
92115,San Diego,CA,San Diego,San Diego,205,,,,,,,,,,,,,1.455581355,1.43932626,1.344022777,1.361559466,1.466718266,1.368421053,1.363401278,1.368421053,1.354368932,1.373815676,1.399894941,1.371875,1.373563218,1.375,1.388888889,1.402331484,1.375,1.383587786,1.41509434,1.406951932,1.398809524,1.449953227,1.470588235,1.516624041,1.414308403,1.455026455,1.453744493,1.392857143,1.352941176,1.390335306,1.438888889,1.454072339,1.539649846,1.582268414,1.572621843,1.53256705,1.496917869,1.519607843,1.50496517,1.476449928,1.493140055,1.559082438,1.539649846,1.573185012,1.574941452,1.583589845,1.624683652,1.650227687,1.636416862,1.599444444,1.623374949,1.627906977,1.63538206,1.65625,1.811049431,1.77180913,1.739177689,1.751568944,1.801204819,1.70630817,1.837524178,1.692519427,1.805193237,1.629550728,1.843289304,1.826529733,1.791555028,1.776666667,1.83045977,1.911764706,1.983752621,1.923480084,1.885302002,1.923076923,1.991287575,1.988457503
92154,San Diego,CA,San Diego,San Diego,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.759042033,1.804854369,1.766807327,1.710576923,1.733791137,1.801111111,1.813294233,1.864327502,1.914882669,1.876666667,1.891067538,1.893583978,1.812222222,1.81800497,1.763106796,1.798888889
92122,San Diego,CA,San Diego,San Diego,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.198113208,2.173067468,2.107329843,2.09486166,2.070833333,2.077830189,2.087108014,2.139465875,2.172302928,2.280442804,2.36990898,2.391403507,2.400418365,2.310850094,2.310907238,2.234219269,2.193995381,2.21345515,2.340216323,2.390703555,2.399475524,2.400330648,2.529644269,2.413100752,2.268185268,2.194176374,2.257905138,2.246804326,2.248394004,2.361216431,2.476415094,2.478184991,2.402777778,2.451587522,2.383658009,2.3,2.309468822,2.342809703
92128,San Diego,CA,San Diego,San Diego,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.653803749,1.648635331,1.616612554,1.658947297,1.686578486,1.733687943,1.688476451,1.732175503,1.753998761,1.727832398,1.739130435,1.730413291,1.771876522,1.7742436,1.775227394,1.730295889,1.771428571,1.87132782,1.893939394,1.847086057,1.902218853,1.949110623,1.902925046,1.935840708,2.176589304,2.001906578,1.965146215,1.968174204,1.924528302,1.95754717,1.880173114,2.045454545,1.92251016,2.028703704,2.027027027,1.984211856,2.079002079,2.099056604,2.060928433,2.073662967,2.057517659,2.087037037
