RegionName,City,State,Metro,CountyName,SizeRank,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
92126,San Diego,CA,San Diego,San Diego,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.819620253,1.909200493,1.901905434,1.918309219,1.923647146,1.929229554,1.949494949,2.011428204,1.860841424,1.925351072,1.943146417,1.89669088
92109,San Diego,CA,San Diego,San Diego,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.290706347,2.488425926,2.76444038,2.76444038,2.682867133,2.631818182,2.631818182,2.777777778,2.834868887,2.867307692,2.725620836,2.740474599
92122,San Diego,CA,San Diego,San Diego,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.157013488,2.116212339,2.120859206,2.078447744,2.288192838,2.467296512,2.324064887,2.242123514,2.249683143,2.184718101,2.155824508,2.12191358
92117,San Diego,CA,San Diego,San Diego,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.921844971,1.993243243,2.082443894,2.089098465,2.136363636,2.16509434,2.217592593,2.199661591,2.309562399,2.138160074,2.077181208,2.174919725
92128,San Diego,CA,San Diego,San Diego,258,,,,,,,,,,,,,,,,,,,,,1.3116802,1.3724267,1.361115228,1.362332696,1.380769231,1.378676471,1.404288092,1.382758883,1.381748072,1.351351351,1.338485442,1.367674227,1.358991826,1.334184935,1.361957392,1.369541758,1.377282754,1.388126456,1.369606004,1.415441176,1.44107051,1.515615631,1.422250316,1.420765027,1.430958488,1.454573304,1.429728604,1.440649505,1.430517711,1.45899555,1.385931916,1.422250316,1.499717035,1.420765027,1.450189155,1.464435146,1.514837819,1.508118604,1.504144752,1.500899751,1.517652828,1.497661171,1.514837819,1.545047684,1.600985222,1.514837819,1.568343248,1.549393579,1.528314028,1.514837819,1.542903233,1.556662516,1.600985222,1.620143714,1.618929016,1.598519308,1.688992429,1.538257173,1.539133531,1.500501002,1.475183894,1.514837819,1.599214656,1.600985222,1.600985222,1.65719697,1.60959848,1.643920596,1.707231503,1.687184864,1.737116387,1.666666667,1.647611778,1.628825271
92130,San Diego,CA,San Diego,San Diego,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77948739,1.75831202,1.786711334,1.75831202,1.75831202,1.767676768,1.770146452,1.797176362,1.809846668,1.820949769,1.922043011,1.956947162,1.956775701,1.941209096,1.941209096,1.836223512,1.812840074,1.82592818,1.888454012,1.853069056,1.957917261,1.969465649,2.02392638,1.97259334,1.958224543,1.956059788,1.9442231,1.955172414,1.955172414,2.002283782,2.047433211,2.121512646,2.063015754,2.141057935,2.134416272,2.095875293,1.99594046,2.167366947,2.057484889,2.044392523,2.052782535,2.022178735,2.10144094,2.040710556,2.103867476,2.122434536,2.174640348,2.23699971,2.207180695,2.210503142,2.166655064,2.230266231,2.261049688,2.230266231,2.162718847
92024,Encinitas,CA,San Diego,San Diego,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.178867302,2.149559529,2.089588892,2.120315582,2.138690476,2.141069202,2.257076271,2.380952381,2.297991925,2.2797387,2.260302094,2.234803337
92057,Oceanside,CA,San Diego,San Diego,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.502362154,1.433447099,1.450189155,1.539589443,1.554828151,1.590750044,1.589912281,1.574690839,1.567055394,1.663011696,1.608058608,1.599749059
92037,San Diego,CA,San Diego,San Diego,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.325121902,2.044825678,2.127659574,2.421959096,2.805512653,2.759980286,2.704108164,2.826510721,2.790484904,2.498959201,2.586206897,2.606503594,2.579868154,2.586206897,2.719869879
92078,San Marcos,CA,San Diego,San Diego,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.591570333,1.694537571,1.732902033,1.786394101,1.857835218,1.93457189,1.857835218,1.892561983,1.726862302,1.772351615,1.745124085,1.759615385
