RegionName,City,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
92126,San Diego,CA,San Diego,San Diego,39,,,,,,,,,,,,,,,,,,,,,,,,,1.526959863,1.541520281,1.587759815,1.576086957,1.552416692,1.613803348,1.586538462,1.627717391,1.598699095,1.600675201,1.570915619,1.570915619,1.578054299,1.60326087,1.576086957,1.60326087,1.647058824,1.672862454,1.783103168,1.647446458,1.58061117,1.61097852,1.620706651,1.600968913,1.656862745,1.656862745,1.662137681,1.677778293,1.66071186,1.6966759,1.654339404,1.641338652,1.638746803,1.704811429,1.674193548,1.70035843,1.760762174,1.787776311,1.739046809,1.687327824,1.707038255,1.703672075,1.7018684,1.740580784,1.757322176,1.778955337,1.783060122,1.814544064,1.744591766,1.760762174,1.806930693,1.814375436,1.793339026,1.793478261,1.837241033,1.821404804,1.868399675,1.838335285,1.828844483,1.900826446,1.901905434,1.904985675,1.885098743,2.029907331,2.03969129,2.033527697,2.024465457,1.949569452,1.962385584,2.020785219,2.019230769
92109,San Diego,CA,San Diego,San Diego,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.363445378,2.62815333,2.403324879,2.489177489,2.456873741,2.554744526,2.695739357,2.908706897,3.155369942,3.225806452,3.118055556,2.9455081,2.953767123,2.964848485,2.977667494
92101,San Diego,CA,San Diego,San Diego,48,,,,,,,,2.652118772,2.520298584,2.492545022,2.440734095,2.285520646,2.308486101,2.342143906,2.382189727,2.395351592,2.434236122,2.334735617,2.438982336,2.345415778,2.300433138,2.371424806,2.418129303,2.450879821,2.43902439,2.43902439,2.427908447,2.435897436,2.420852501,2.467270896,2.50432526,2.469656617,2.435897436,2.460482961,2.489089193,2.494801494,2.46309333,2.518193324,2.477036246,2.458171478,2.5,2.544401544,2.51177394,2.576736672,2.569106041,2.577377834,2.597894845,2.585551331,2.548981673,2.542817758,2.520091848,2.622306232,2.585551331,2.558430605,2.549889135,2.551282051,2.582775665,2.605740181,2.611873587,2.652790559,2.68615401,2.63252829,2.667378157,2.660457552,2.630414831,2.641555225,2.645928737,2.592446892,2.615992103,2.653748947,2.674862819,2.719854941,2.752300066,2.794117647,2.735229759,2.704918033,2.700464251,2.753195674,2.684135977,2.716733871,2.791625125,2.665589661,2.688097164,2.693644194,2.773481323,2.817276231,2.857142857,2.87748723,2.871149234,2.89918996,2.938388626,2.922755741,2.915384615,2.870090634,2.906976744
92115,San Diego,CA,San Diego,San Diego,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.591107236,1.662664382,1.707646272,1.730103806,1.543209877,1.639025931,1.617647059,1.818983749,1.792510185,1.776178189,1.640624706,1.708984375,1.877942578,1.902810304,1.894491563,1.849767081,1.889473684,1.907514451,1.878771866
92122,San Diego,CA,San Diego,San Diego,98,,,,,,,,,,,,,,,,1.761623383,1.882845188,1.759259259,1.763046544,1.841517857,1.802686726,1.743881119,1.720604099,1.703749787,1.699790795,1.684563771,1.766595289,1.793025202,1.8000018,1.803085136,1.847575058,1.792529989,1.68674738,1.681614208,1.768181818,1.802435887,1.811594203,1.781170483,1.828048816,1.87814756,1.930977814,1.920716172,1.927194861,1.882845188,1.893095768,1.806003668,1.864021572,1.774260823,1.811248808,1.840191392,1.858985261,1.888492541,1.884776236,1.884776236,1.896551724,1.811594203,1.905263561,1.953125,1.834612434,1.972740316,1.933904659,1.950950028,1.949821054,2.097902098,2.10380337,2.025072324,2.041146897,2.047146402,2.075997233,2.06356657,2.190557897,2.1,2.150020044,2.092050209,2.09940479,2.091633466,2.200284091,2.070594149,2.245589162,2.176128093,2.056906534,2.069536424,2.068345324,2.240566038,2.147454589,2.212202102,2.262756003,2.331171384,2.308647812,2.346050256,2.34375,2.380653266,2.240484429,2.261904762,2.345490462
92128,San Diego,CA,San Diego,San Diego,118,,,,,,,,,,,,,1.456548348,1.401541696,1.412037037,1.460281113,1.477250686,1.491378761,1.394404332,1.450568232,1.438596491,1.460843274,1.45377129,1.468991281,1.498816101,1.506792017,1.46878825,1.473429213,1.486898336,1.519421173,1.454138702,1.447876448,1.434108527,1.451278507,1.50462963,1.498236332,1.493261806,1.490196078,1.51252095,1.541431541,1.544401544,1.574612403,1.669603524,1.529535865,1.569444444,1.559143785,1.584535556,1.530612245,1.538461538,1.547915095,1.585216587,1.4781966,1.613522389,1.659292035,1.66444778,1.616612554,1.648291069,1.648291069,1.634315818,1.673497268,1.673497268,1.713936003,1.714285714,1.68356182,1.669603524,1.712161445,1.640548482,1.666666667,1.656706507,1.6875,1.781170483,1.764707716,1.764707716,1.75462963,1.962307856,1.80479183,1.785714286,1.781170483,1.787315171,1.77348487,1.678082192,1.79587201,1.785043269,1.782803489,1.841915779,1.8226735,1.815431165,1.811649017,1.810265811,1.859649123,1.913356954,1.882239382,1.919795222,1.862468682,1.951476793
92130,San Diego,CA,San Diego,San Diego,123,,,,,,,,,,,,1.764705882,1.752847659,1.719312415,1.762940735,1.794766491,1.798199153,1.748316124,1.797625964,1.833976834,1.784210526,1.771159875,1.788685524,1.841015833,1.874026404,1.8718802,1.871464226,1.85348632,1.871102195,1.851081531,1.798199153,1.774344569,1.786448025,1.805674979,1.809484193,1.851851852,1.885035949,1.879127084,1.909350464,1.888364293,1.918988954,1.887396033,1.89107413,1.877729258,1.85888266,1.829866889,1.828551215,1.834061135,1.871872382,1.910541255,1.913477537,1.977687751,1.975419664,1.975419664,1.947368421,1.93270196,1.92450037,1.915357766,1.91401649,1.960784314,1.97171381,1.92450037,1.985229277,1.914219587,1.970160865,1.99645471,1.999733405,2.004519757,2.004384494,1.985294118,2.079866889,2.045454545,2.03520352,2.095737872,2.08596713,2.061894984,1.99594046,2.072802399,2.053983714,1.986892912,1.978577275,1.975683891,2.099236641,2.03562341,2.036184211,2.114188684,2.11927982,2.162162536,2.15078329,2.195309068,2.196766086,2.184331889,2.230392157,2.200261376,2.180299118
92037,San Diego,CA,San Diego,San Diego,152,,,,,,,,,2.962962963,2.950675794,2.998853903,2.54470451,2.501329989,2.297821245,2.416666667,2.333866165,2.246602613,2.347611203,2.409638554,2.409638554,2.294893861,2.390710383,2.512562814,2.533532042,2.333333333,2.316367135,2.428571429,2.309579689,2.461818359,2.60318064,2.477700694,2.390710383,2.532446977,2.480644135,2.620609292,2.671912584,2.554495913,2.66798419,2.748815166,2.820409603,2.754775681,2.294102837,2.434059372,2.573185535,2.607311058,2.618577075,2.675840979,2.66798419,2.555366269,2.417762292,2.377279102,2.537485582,2.7100271,2.604166667,2.454417952,2.546733834,2.711252248,2.756916996,2.764000667,2.837643678,2.574370709,2.410901468,2.414641697,2.268602541,2.350628931,2.369668246,2.515047185,2.477699195,2.505112474,2.33463035,2.452192415,2.484243697,2.560521415,2.511977896,2.5,2.421712039,2.429870143,2.392292363,2.354965585,2.507861635,2.455930032,2.281191806,2.293577982,2.571428571,2.696078431,2.671867131,2.684636385,2.691993464,2.547033498,2.5,2.728477536,2.724974722,2.586206897,2.676560142,2.747292991
92103,San Diego,CA,San Diego,San Diego,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.333315321,2.390239214,2.272727273,2.488038278,2.436619718,2.380715706,2.285714286,2.31454129,2.414313716,2.454362941,2.37854251,2.421288961,2.447456915
92078,San Marcos,CA,San Diego,San Diego,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.753238125,1.732837055,1.736972705,1.796575851,1.823180837,1.797168733,1.802106847,1.878908404,1.792382375,1.792382375,1.751117735,1.783135118
