"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1300,1347.5,1300,1325,1201,1295,1362.5,1400,1400,1400,1400,1325,1385,1362.5,1400,1350,1350,1385,1400,1600,1525,1450,1495,1375,1450,1449.5,1495,1400,1495,1497.5,1495,1500,1580,1600,1650,1650,1695,1650,1650,1595,1595,1600,1650
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,1150,1150,1100,1100,1095,1100,1100,1100,1095,1050,1050,1065,1050,1050,1050,1000,1025,1000,1000,1000,1018,1027.5,1050,1095,1095,1100,1100,1145,1150,1125,1150,1150,1150,1150,1125,1100,1150,1150,1175,1195,1195,1195,1200,1150,1200,1250,1250,1250,1257.5,1275,1250,1245,1245,1250,1250,1295,1300,1300,1250,1300,1185,1250,1222.5,1200,1300,1200,1250,1295,1300,1350,1300,1350,1350,1350,1350,1350,1350,1317.5,1332.5
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,885,875,885,937.5,895,875,850,875,850,850,825,850,850,850,850,850,845,825,820,800,817.5,800,825,850,850,850,850,850,875,875,850,850,850,850,850,850,850,850,850,845,850,850,850,850,850,850,850,850,875,875,875,895,875,875,882.5,895,895,895,899,897,895,900,925,912.5,900,900,907.5,925,915,950,950,950,950,968.5,975,902.5,957.5,950,925,899,975,987.5,1000,1000,1050,1050,1055,1067.5,1050,1025,1000,1025,1050
"Upper West Side","New York","NY","New York","New York",4,2900,2850,2900,2925,3100,3400,3500,3600,3775,3775,3600,3500,2962.5,3200,3200,3200,3100,3230,3387.5,3500,3600,3550,3465,3275,3395,3200,3200,3340,3400,3365,3400,3400,3450,3400,3312.5,3300,3300,3300,3295,3299,3250,3200,3250,3495,3498,3500,3500,3500,3500,3515,3595,3540,3695,3600,3600,3615,3700,3650,3600,3680,3590,3595,3600,3600,3697,3695,3675,3700,3677.5,3675,3677.5,3695,3697,3700,3649.5,3650,3575,3500,3500,3500,3500,3595,3500,3515,3512.5,3500,3595,3600,3605,3600,3600,3550,3500,3550,3571,3582.5
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3250,3100,3050,3200,3000,3050,3125,3050,3150,3000,3197.5,2997.5,3135,3500,3449.5,2900,2995,3100,3225,3700,4100,4247.5,4100,3722.5,3675,3899.5,3500,3495,3275,3372.5,3100,3300,3500,3892.5,3600,3600,3695,3600,3900,3872.5,3799,3900
"Upper East Side","New York","NY","New York","New York",6,,,,,,,,,,,,,,2500,2595,2595,2620,2700,2800,2895,2950,2925,2950,2795,2800,2700,2700,2750,2700,2700,2750,2795,2800,2800,2800,2800,2800,2750,2795,2700,2600,2500,2600,2800,2995,3100,3100,3085,3055,3100,3172.5,3100,3150,3095,3200,3195,3178.5,3100,3150,3180,3155,3195,3195,3195,3200,3200,3200,3200,3200,3200,3195,3197.5,3200,3197.5,3197.5,3195,3095,3100,3000,2999.5,3050,3100,2995,3100,3195,3200,3200,3250,3250,3200,3150,3152.5,3150,3140,3100,3100
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,900,899,900,895,900,947.5,900,900,900,895,895,895,877.5,860,850,895,895,887.5,875,867.5,870,875,875,875,875,850,850,875,850,870,850,850,852.5,850,875,872,899,900,900,900,925,900,900,900,900,900,900,900,925,950,955,932,950,900,950,995,950,950,950,950,950,990,990,995,950,960,995,950,950,975,975,995,995,995,1025,995,995,1050,1050,1025,1050,1012.5,1000,1050,1045
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,,,,,,1097.5,1200,1225,1200,1200,1100,1187.5,1195,1100,1100,1227.5,1195,1175,1100,1100,1100,1100,1100,1095,1100,1100,1100,1100,1099,1100,1100,1100,1100,1150,1100,1150,1100,1150,1150,1100,1095,1067,1075,1050,1050,1095,1095,1125,1125,1150,1150,1100,1100,1125,1150,1150,1150,1190,1195,1195,1200,1199,1195,1195,1200,1200,1195,1150,1195,1200,1200,1200,1150,1100,1100,1200,1225,1125,1100,1150,1200,1200,1195,1245,1250,1275,1250,1200,1250,1260.5,1295,1295,1285,1295,1295,1295
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",9,1475,1550,1525,1495,1500,1625,1550,1395,1275,1250,1250,1200,1200,1200,1200,1200,1295,1250,1200,1200,1195,1225,1250,1225,1200,1250,1200,1200,1250,1225,1200,1200,1195,1200,1197.5,1200,1195,1195,1195,1195,1195,1195,1175,1195,1250,1250,1262.5,1275,1295,1300,1300,1350,1350,1314,1350,1309.5,1330,1350,1375,1450,1500,1500,1500,1495,1450,1450,1450,1450,1475,1485,1595,1550,1550,1500,1499.5,1450,1450,1475,1475,1437.5,1400,1432.5,1350,1495,1450,1500,1500,1500,1500,1525,1500,1500,1500,1500,1549,1559
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",10,,1150,1100,1100,1125,1100,1100,1012.5,1000,1099,1099.5,1175,1100,1122.5,1150,1100,1100,1150,1150,1112.5,1100,1095,1100,1095,1072.5,1099,1100,1125,1100,1099,1100,1100,1150,1125,1125,1150,1150,1150,1150,1100,1100,1100,1095,1100,1100,1119,1150,1150,1150,1150,1150,1195,1199,1199,1200,1200,1200,1195,1195,1195,1200,1225,1200,1237,1200,1200,1225,1250,1250,1245,1225,1275,1250,1250,1250,1225,1249.5,1225,1215,1250,1250,1200,1245,1290,1295,1300,1349,1350,1350,1350,1350,1350,1325,1300,1300,1315
