RegionName,City,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
91910,Chula Vista,CA,San Diego,San Diego,86,,,,,,,,,,,,,,,,,,,,,1.237623762,1.22699082,1.198615601,1.283185841,1.285240464,1.25,1.268111756,1.294642857,1.280311804,1.339020328,1.289398281,1.249687031,1.268882175,1.269230769,1.269056472,1.308615049,1.283269962,1.294611617,1.269965703,1.332378537,1.33,1.309182209,1.38026225,1.320612309,1.314285586,1.310175377,1.26372484,1.31826742,1.371206017,1.354387925,1.376146789,1.361824452,1.344856661,1.337516513,1.34004884,1.358381182,1.327509837,1.31826742,1.296505073,1.388888889,1.403531443,1.366666667,1.422358565,1.43189738,1.407112201,1.401869399,1.420134443,1.378169791,1.401273885,1.404538341,1.398470698,1.395089286,1.411908437,1.404538341,1.358695652,1.404538341,1.42331434,1.404538341,1.452780068,1.420841502,1.472650771,1.404538341,1.375661376,1.431133429,1.463580667,1.521720641,1.538688138,1.544860368,1.543574463,1.481116388,1.54494382,1.555168374,1.557923212,1.515151515,1.426675514
92126,San Diego,CA,San Diego,San Diego,131,,,,,,,,,,,,1.495327103,1.430411102,1.431777379,1.414031621,1.436450363,1.399772182,1.508379888,1.436561955,1.415540541,1.445374231,1.463302752,1.455883252,1.494577719,1.500732064,1.485429908,1.481149013,1.477272727,1.49934811,1.513910068,1.54109589,1.565071906,1.510163533,1.487198795,1.486486486,1.522435897,1.537335286,1.553809477,1.571113561,1.569037657,1.553030303,1.576086957,1.705107084,1.565786679,1.483870968,1.483171706,1.52599412,1.527307613,1.528400908,1.533674963,1.573228013,1.590909091,1.625,1.62037037,1.589912281,1.588412991,1.554535838,1.622544833,1.592899085,1.606425703,1.630434783,1.69124125,1.675786594,1.630434783,1.643835616,1.606290682,1.6191593,1.593456126,1.615747124,1.672215198,1.719432314,1.661392405,1.67407409,1.690727801,1.755014327,1.788816631,1.638746803,1.73062453,1.711752732,1.770763913,1.73641983,1.647058824,1.719432314,1.817642405,1.812556256,1.847826087,1.847826087,1.937367051,1.956692242,1.929982047,1.899707174,1.838348053,1.828844483,1.902863606,1.90012209
92109,San Diego,CA,San Diego,San Diego,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.381166388,2.561437845,2.410035069,2.571761024,2.585382514,2.810457516,2.775,2.891504606,3.049509861,3.170865279,3.123044838,2.970562771,2.9455081,2.909090909,2.923076923
92101,San Diego,CA,San Diego,San Diego,170,,,,,,,,2.652118772,2.520298584,2.492545022,2.417941528,2.286777333,2.309588219,2.351485149,2.372034956,2.37449118,2.429447853,2.334735617,2.430133657,2.37959484,2.342782307,2.363481229,2.412390351,2.418945682,2.419361512,2.420701169,2.370532458,2.43636027,2.413979469,2.434456929,2.464205396,2.428571429,2.358092321,2.43902439,2.442176871,2.47814263,2.456212596,2.503387534,2.452265512,2.440591335,2.444987775,2.528832882,2.508256077,2.576736672,2.55653884,2.560521415,2.589374308,2.573528375,2.535657686,2.527301092,2.499017587,2.598743501,2.564276049,2.535657686,2.531565107,2.538071066,2.579535684,2.590673575,2.576736672,2.628990311,2.675840821,2.626970228,2.653061224,2.631578947,2.597487002,2.620657619,2.634880803,2.581471784,2.597487002,2.652559055,2.663438257,2.718623123,2.734610123,2.773962781,2.721121154,2.703810368,2.688172043,2.715355805,2.669368342,2.715466352,2.746365105,2.637620176,2.667870036,2.692307692,2.763763768,2.792832168,2.850162866,2.870090634,2.856814674,2.871149234,2.922077922,2.916445741,2.871794872,2.847727758,2.888888889
92104,San Diego,CA,San Diego,San Diego,314,,,,,,,,,,,,,,,,,,,,,,,,1.71957672,1.689116226,1.770050125,1.658333333,1.59,1.642857143,1.651356239,1.622279605,1.60906298,1.654228856,1.590401786,1.71752451,1.663953081,1.642857143,1.75388144,1.782608696,1.732844388,1.715808097,1.8,1.807208111,1.972820993,1.8305,1.757352941,1.93236715,1.816498316,1.818181818,1.818181818,1.825,1.825,1.903443878,1.91957291,1.833333333,1.833333333,1.929824561,1.79144385,2.013705045,1.984126984,2.08729213,2.048409039,2.19,2.111486486,2.088917982,2.098360656,2.018702814,2.080318379,2.038856373,2.0625,2.16025641,1.999444753,2.111764706,2.248263889,2.203488372,2.076667519,2.006420546,2.105633803,2.256207416,2.099358974,2.28049944,2.079475309,2.164583333,2.225556206,2.351190476,2.3125,2.420333839,2.430117223,2.369411614,2.381161972,2.44047619,2.467378708,2.40625,2.345894608,2.34375
92154,San Diego,CA,San Diego,San Diego,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.451883871,1.552795031,1.436567885,1.487755317,1.537585421,1.528225806,1.470412259,1.46009085,1.502817783,1.590469111,1.573529412,1.558557289
92105,San Diego,CA,San Diego,San Diego,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.723790565,1.723790565,1.7316092,1.727430556,1.902380952,1.910714286,1.913919414,1.995401834,1.915708812,1.972222222,1.844276697,1.871257485
92122,San Diego,CA,San Diego,San Diego,368,,,,,,,,,,,,,1.578207672,1.661129568,1.674641148,1.800401204,1.883926233,1.761152902,1.759259259,1.841517857,1.790598291,1.728648649,1.695331756,1.69003908,1.699790795,1.673983911,1.710708646,1.729024943,1.795515242,1.787848606,1.814775161,1.785714286,1.717007978,1.714285714,1.768181818,1.772942091,1.79471681,1.736111111,1.798697834,1.83423913,1.903506323,1.853563104,1.885865457,1.843231512,1.846895075,1.750547046,1.802656546,1.744588921,1.751117735,1.80583493,1.796211626,1.874062969,1.884776236,1.850651326,1.87366167,1.809045226,1.831501832,1.865136298,1.814775161,1.914866669,1.904946924,1.920841228,1.914739884,2.059659091,2.08937074,2,2.021188447,1.940281321,2.059659091,1.953125,2.024147727,2.071005917,2.107120795,2.04209172,2.061248528,2.050629845,2.157434661,2.047146402,2.175925926,2.127659574,1.996296296,2.007467916,2.008547009,2.138879704,2.072155037,2.12962963,2.188128007,2.267573696,2.270150484,2.275032019,2.302389133,2.307692308,2.210158434,2.19665272,2.216931217
92117,San Diego,CA,San Diego,San Diego,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.847183379,1.951596292,2.086904762,1.944444444,1.934849629,1.923151374,1.944444444,1.932201959,1.950162514,2.039932587,2.082443894,2.095588235,2.086325123,2.077464789,2.211737473,2.175099612,2.246320682,2.148459938,2.076318743,2.131782946
92128,San Diego,CA,San Diego,San Diego,430,,,,,,,,,,,,1.464033667,1.377752261,1.356589147,1.357234536,1.349277978,1.349277978,1.301769262,1.296829971,1.393650794,1.40503876,1.40503876,1.423220974,1.412429379,1.430930105,1.420176298,1.423726577,1.42396561,1.40503876,1.443050193,1.387262079,1.360747584,1.420454545,1.5,1.558203483,1.497243592,1.52027027,1.544401544,1.505681818,1.475912671,1.485399819,1.482630273,1.574612403,1.425176373,1.44486692,1.435185185,1.456237425,1.46116968,1.477342182,1.498236332,1.525562552,1.372877382,1.49132619,1.545354204,1.499801427,1.509600674,1.495122229,1.504010695,1.512226512,1.545253863,1.501392758,1.534296029,1.539132346,1.53907496,1.570197044,1.604032997,1.562951945,1.585498534,1.560350219,1.541762014,1.625634978,1.557045365,1.628868867,1.615119465,1.657711202,1.651073198,1.638888889,1.622224934,1.644736842,1.612806703,1.52238806,1.599640187,1.605691057,1.641199774,1.737451737,1.712186179,1.681195517,1.69061057,1.669603524,1.747233547,1.719824891,1.788908766,1.741071429,1.736972705,1.76836504
